"Date","Hour","Quantity (MWh)"
"01/01/2017","00:00","33,561.00"
"01/01/2017","01:00","32,102.90"
"01/01/2017","02:00","30,205.00"
"01/01/2017","03:00","29,687.80"
"01/01/2017","04:00","29,641.40"
"01/01/2017","05:00","29,583.40"
"01/01/2017","06:00","29,707.00"
"01/01/2017","07:00","29,630.00"
"01/01/2017","08:00","30,029.00"
"01/01/2017","09:00","30,136.40"
"01/01/2017","10:00","31,716.20"
"01/01/2017","11:00","34,183.60"
"01/01/2017","12:00","34,404.90"
"01/01/2017","13:00","35,093.50"
"01/01/2017","14:00","35,087.60"
"01/01/2017","15:00","35,395.30"
"01/01/2017","16:00","37,441.60"
"01/01/2017","17:00","39,366.30"
"01/01/2017","18:00","40,347.80"
"01/01/2017","19:00","39,361.50"
"01/01/2017","20:00","38,185.20"
"01/01/2017","21:00","37,389.90"
"01/01/2017","22:00","37,755.60"
"01/01/2017","23:00","35,716.70"
"02/01/2017","00:00","33,158.90"
"02/01/2017","01:00","30,569.30"
"02/01/2017","02:00","30,020.90"
"02/01/2017","03:00","30,022.20"
"02/01/2017","04:00","29,981.20"
"02/01/2017","05:00","29,986.00"
"02/01/2017","06:00","30,313.50"
"02/01/2017","07:00","30,927.20"
"02/01/2017","08:00","34,667.30"
"02/01/2017","09:00","38,178.40"
"02/01/2017","10:00","40,124.70"
"02/01/2017","11:00","40,900.40"
"02/01/2017","12:00","39,797.80"
"02/01/2017","13:00","39,997.50"
"02/01/2017","14:00","40,259.40"
"02/01/2017","15:00","40,425.00"
"02/01/2017","16:00","41,538.30"
"02/01/2017","17:00","44,084.00"
"02/01/2017","18:00","42,331.70"
"02/01/2017","19:00","40,913.30"
"02/01/2017","20:00","41,156.90"
"02/01/2017","21:00","39,859.80"
"02/01/2017","22:00","41,035.00"
"02/01/2017","23:00","38,366.60"
"03/01/2017","00:00","34,386.60"
"03/01/2017","01:00","31,948.70"
"03/01/2017","02:00","30,811.90"
"03/01/2017","03:00","30,438.10"
"03/01/2017","04:00","30,344.60"
"03/01/2017","05:00","30,360.40"
"03/01/2017","06:00","30,640.60"
"03/01/2017","07:00","30,937.30"
"03/01/2017","08:00","33,323.90"
"03/01/2017","09:00","36,919.40"
"03/01/2017","10:00","38,372.20"
"03/01/2017","11:00","39,284.00"
"03/01/2017","12:00","38,247.60"
"03/01/2017","13:00","38,494.10"
"03/01/2017","14:00","38,773.60"
"03/01/2017","15:00","38,720.80"
"03/01/2017","16:00","39,980.40"
"03/01/2017","17:00","42,891.40"
"03/01/2017","18:00","41,640.50"
